SOLAR_RADIATION,PRECIPITATION,WIND_SPEED,LEAF_WETNESS,HC_AIR_TEMPERATURE,HC_RELATIVE_HUMIDITY,DEW_POINT
0.0,0.0,5.1,0.0,4.0,0.0,0.0
0.0,0.0,4.7,0.0,4.01,0.0,0.0
0.0,0.0,5.2,0.0,4.19,0.0,0.0
0.0,0.0,4.8,0.0,4.46,0.0,0.0
0.0,0.0,4.9,0.0,4.84,0.0,0.0
0.0,0.0,5.5,0.0,5.25,0.0,0.0
0.0,0.0,5.5,0.0,5.26,0.0,0.0
22.0,0.0,5.6,0.0,5.32,0.0,0.0
35.0,0.0,5.3,0.0,5.53,0.0,0.0
62.0,1.2,4.8,0.0,5.49,0.0,0.0
71.0,1.2,5.0,0.0,5.73,0.0,0.0
61.0,1.0,5.5,55.0,5.74,0.0,0.0
93.0,0.0,4.7,55.0,6.04,0.0,0.0
117.0,0.0,4.4,0.0,6.82,0.0,0.0
63.0,0.0,3.9,0.0,6.72,0.0,0.0
24.0,0.0,3.6,0.0,6.78,0.0,0.0
0.0,0.0,4.7,0.0,7.15,0.0,0.0
0.0,0.0,3.4,0.0,7.21,0.0,0.0
0.0,0.0,3.0,0.0,6.94,0.0,0.0
0.0,0.0,2.6,0.0,6.77,0.0,0.0
0.0,0.0,2.5,0.0,6.21,0.0,0.0
0.0,0.0,3.4,0.0,6.18,0.0,0.0
0.0,0.0,3.6,0.0,6.05,0.0,0.0
0.0,0.0,3.9,0.0,6.38,0.0,0.0
0.0,0.0,3.4,0.0,6.34,0.0,0.0
0.0,0.6,4.1,0.0,5.38,0.0,0.0
0.0,0.0,3.6,0.0,4.67,0.0,0.0
0.0,0.0,3.1,0.0,5.13,0.0,0.0
0.0,0.4,2.5,0.0,5.34,0.0,0.0
0.0,3.2,3.0,5.0,4.47,0.0,0.0
0.0,0.6,3.0,60.0,4.04,0.0,0.0
10.0,0.0,2.6,60.0,4.21,0.0,0.0
78.0,0.0,3.1,60.0,4.73,0.0,0.0
233.0,0.0,3.7,25.0,6.53,0.0,0.0
57.0,0.8,4.0,0.0,6.26,0.0,0.0
28.0,2.6,2.9,0.0,4.73,0.0,0.0
33.0,1.8,1.6,30.0,4.41,91.66,0.0
22.0,1.8,1.3,60.0,4.44,91.3,3.0
0.0,4.2,1.9,60.0,2.09,88.64,0.3
0.0,2.2,2.7,60.0,3.59,81.0,0.0
0.0,0.2,3.0,0.0,4.08,36.78,0.0
0.0,0.0,3.4,0.0,4.47,0.0,0.0
0.0,0.0,2.9,0.0,4.99,0.0,0.0
0.0,1.0,4.4,25.0,5.71,0.0,0.0
0.0,1.2,4.2,60.0,5.51,0.0,0.0
0.0,0.4,5.3,5.0,6.03,0.0,0.0
0.0,0.6,5.4,15.0,6.32,0.0,0.0
0.0,0.4,6.5,0.0,6.21,0.0,0.0
